date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2
2019-10-22,2020,0,,TOR,NOP,1672.98650511735,1415.32053882373,0.8868429071818512,0.11315709281814879,1674.58414486437,1413.72289907671,1732.74872269853,1391.57616294619,0.9273974386119396,0.07260256138806043,1733.72238777968,1390.60249786504,1570.91002704454,1524.91969157268,0.7001844891627858,0.29981551083721425,130,122
2019-10-22,2020,0,,LAC,LAL,1516.60861459456,1472.91031573486,0.6957612684676023,0.30423873153239767,1522.27203966365,1467.24689066577,1525.94399226953,1472.45557268039,0.7007944694469094,0.2992055305530906,1531.49718778375,1466.90237716617,1577.79631965122,1625.62702616197,0.5665635690861484,0.43343643091385164,112,102
2019-10-23,2020,0,,IND,DET,1509.5434369267,1475.76004260392,0.6835466620094295,0.3164533379905705,1494.64147567396,1490.66200385666,1511.10077895899,1468.62690694287,0.6944006683336231,0.30559933166637687,1495.84189668781,1483.88578921405,1504.51347608717,1401.76851954223,0.7627331015488139,0.2372668984511861,110,119
2019-10-23,2020,0,,CHO,CHI,1497.24302553757,1350.43052844022,0.8054586204774099,0.1945413795225901,1498.55634786924,1349.11720610855,1497.64380981739,1303.67446614652,0.8462419264141191,0.1537580735858809,1498.6486139293,1302.66966203461,1353.40152738915,1463.72155179318,0.4884506697250256,0.5115493302749744,126,125
2019-10-23,2020,0,,ORL,CLE,1543.18427016017,1349.54720698356,0.8442650301801665,0.15573496981983348,1545.63934472878,1347.09213241495,1561.5544839385,1286.00974247485,0.8960588151830111,0.10394118481698889,1563.11176382296,1284.45246259039,1531.3907412395,1353.20676231074,0.8311398540285129,0.16886014597148713,94,85
2019-10-23,2020,0,,BRK,MIN,1494.76759174497,1465.41301618077,0.6780063422905913,0.3219936577094087,1488.65405858036,1471.52654934538,1494.74479647013,1454.29426553084,0.6903726082792382,0.3096273917207618,1488.4640305556,1460.57503144537,1503.49834192401,1575.42340830436,0.5386666195922137,0.46133338040778626,126,127
2019-10-23,2020,0,,PHI,BOS,1582.39677605164,1577.78355171342,0.6461599564798347,0.3538400435201653,1590.79581414713,1569.38451361793,1612.33973961088,1610.87399113619,0.6340749317849066,0.3659250682150934,1621.08447246468,1602.12925828239,1650.77418403123,1568.193391004,0.7343242847853559,0.26567571521464406,107,93
2019-10-23,2020,0,,MIA,MEM,1498.74553276499,1459.00772950912,0.6909139259775016,0.30908607402249844,1507.53501832376,1450.21824395035,1502.13314237607,1455.11272887869,0.696860094088675,0.303139905911325,1510.72347600496,1446.5223952498,1506.59009295661,1466.19336442031,0.6887455671322298,0.3112544328677702,120,101
2019-10-23,2020,0,,DAL,WAS,1462.20359491783,1434.80050301983,0.6755489956352215,0.3244510043647785,1467.55023515923,1429.45386277843,1456.36026210369,1420.26935603547,0.69044849387232,0.30955150612768,1461.41747489758,1415.21214324158,1565.88308172899,1419.18098189807,0.8082913954280413,0.1917086045719587,108,100
2019-10-23,2020,0,,SAS,NYK,1553.99176299846,1319.2300820627,0.8729217789137218,0.1270782210862782,1555.94309383312,1317.27875122804,1568.41801706849,1256.67667755711,0.9179008044508489,0.08209919554915113,1569.6147761313,1255.4799184943,1497.5303811192,1297.55511522739,0.8545551262499654,0.14544487375003456,120,111
